제목,감성
에스에프레이는 2010년 매출액 1조원 달성을 위한 인프라 구축은 단기적으로 디스플레이 경기가 다소 둔화되더라도 장기적인 비젼을 가지고 투자를 지속할 의지를 내비쳤다.,NEUTRAL
"다만, 2분기 실적을 반영하여 한진KPS의 실적을 소폭 상향조정한다. 08년 2분기 실적, 매출액 2,337억원, 영업이익 243억원, 당기순이익 210억원 기록 한전KPS의 08년 2분기 실적은 매출액 2,337억원, 영업이익 243억원, 당기순이익 210억원을 기록하였다.",POSITIVE
"매출액 증가는 1)1분기에 착수하지 않았던 원자력 계획예방정비가 2분기에 5개호기가 정비를 완료하면서 매출인식이 본격화되었고, 2)1분기에 미뤄졌던 경상정비공사에 대한 계약이 2분기에 대부분 완료되면서, 이미 완료된 공사의 인상분이 2분기에 인식되었으며, 3)07년부터 크게 늘어난 해외사업 부분이 본격적으로 매출로 인식되기 때문인 것으로 판단된다.",POSITIVE
"08년 2분기 실적, 매출액 2조 4,763억원, 영업이익 -1,164억원, 당기순이익 -2,889억원 기록 대한항공의 08년 2분기 실적은 매출액 2조 4,763억원(+17.5% yoy), 영업이익 -1,164억원(적자전환), 순이익 -2,889억원(적자지속)을 기록하였다.",NEGATIVE
호남석유의 EOA에 대한 특화전략은 우선 대량생산과 수요시장이 있는 콘크리트용 혼화제 EOA에 집중되어 있다.,NEUTRAL
"연료비 증가는 1)석탄연료단가의 상승(51.5% yoy), 2)발전용 LNG가격의 상승 (+64% yoy), 3)중유단가상승(+75.3%yoy)에 기인한 것으로, 원자재가격 상승요인에 원화약세까지 겹쳐 한전은 최악의 실적을 기록하였다.",NEGATIVE
"한편 향후 쌍용건설을 군인공제회와 같이 분담하여 5천억원에 인수하여 3천억원의 차입금이 증가한다고 가정하면 09년도 순차입금은 최고 1.95조원으로 증가 전망된다. (당진공장 등 신규투자분 포함) 09년 예상 EBITDA 8,747억원으로 추정돼 여기에 EV/EBITDA배율 6배만 적용하여도 순차입금을 차감한 주식가치는 3.3조원이 된다.",NEUTRAL
2분기 실적: 후판부문의 호전으로 예상치 상회 동국제강의 2분기 실적은 예상보다 좋은 실적을 보여줬다.,POSITIVE
페인트 부문 부진은 최근 고유가에 따른 원재료 급등에도 불구 판매가격(ASP) 인상시기가 5월말에 늦게 이루어졌기 때문이다.,NEGATIVE
"그러나 투자의견은 매수로 유지하는 바 그 이유는 1)NAV대비 할인율이 2008년 8월 17일 현재 41.5%에 이르러 Valuation이 매력적이고, 2)하반기 CJ투자증권의 매각대금 유입과 E&M 사업부문의 이익모멘텀 강화 가능성에 무게를 둘 수 있기 때문이다.",NEUTRAL
"무학의 전년대비 매출은 상승하였지만, 영업이익은 2006년 11월에 ‘좋은데이’ 출시에 따른 마케팅 강화로 인한 비용 상승 때문에 감소하였다.",NEGATIVE
"2008년 무학의 실적은 매출액 1,343억원(+19.3%, yoy), 영업이익 308억원(+76.9%, yoy)으로 사상 최대 실적이 예상된다.",POSITIVE
그러나 국제유가의 상승으로 인해 원재료비 부담이 증가하며 호성케멕스의 매출원가율이 전년의 87%수준에서 89% 수준으로 크게 증가하였다.,NEGATIVE
"호성케멕스의 2008년 매출액은 1,610억원 수준으로 기존 전망을 유지한다.",NEUTRAL
목표주가 산정에 적용된 PER은 대우증권 전자부품 및 통신장비 업종의 2009년 예상 PER 18.4배와 8.9배를 평균한 값을 20% 할인한 10.9배이다.,NEUTRAL
2008년 6월 이후 성호전자의 월 매출이 사상최대치를 돌파하는 등 매출 확대와 이익의 개선이 본격적으로 나타나고 있다.,POSITIVE
분기가 중간 정도 지난 현 시점 고영의 수주 규모가 70억원(2분기 매출의 77% 수준)을 넘어서 어닝 서프라이즈가 기대된다.,POSITIVE
고영의 주요 EMS 업체향 매출액은 08년 상반기 전년대비 2배 이상 증가하며 전체 성장을 견인하고 있다.,POSITIVE
SPI 장비 시장은 향후 2~3년간 연평균 30% 이상의 성장이 가능할 것으로 예상된다.,POSITIVE
고영의 2분기 매출액은 전년동기대비 87.0% 증가했던 1분기에 이어 전년동기대비 45.8% 증가한 92억원을 기록하였다.,POSITIVE
"동국제강은 스크랩 가격 하락, 건설 경기 위축으로 봉형강 가격에 대한 인하 압력이 존재하고, 4분기 후판 롤마진의 악화가 예상된다.",NEGATIVE
"다만, 환율 급등과 유류할증료 증가로 여객 수요가 둔화되고 있어 2008년 영업이익은 당초 전망대비 56.6% 감소한 620억원으로 하향한다. 7월 인천공항 여객수는 전년대비 5.7% 감소했다.",NEGATIVE
"이는 강원랜드는 완전 독점이 유지되고 있고, 한국의 내국인 출입 카지노 시장은 선진국과는 달리 진입 초기에 있는 성장산업이기 때문이다.",POSITIVE
"강원랜드 카지노 설비의 가동률이 100%를 상회한 지는 오래되었지만, 외형 증가세가 지속되고 있다.",POSITIVE
"현우산업의 3분기 매출액과 영업이익은 각각 전년동기대비 32.9%, 161.4% 증가한 175.0억원, 11.5억원이 기대된다.",POSITIVE
또한 상신이디피는 원형CAN과 CID등 신규 제품의 매출이 예상보다 늦어지면서 성장통을 겪고 있는 것으로 보인다.,NEGATIVE
"상신이디피는 올 해 원형CAN, CID등의 신규 제품 출시와 Pack Ass’y 사업 진출로 외형적인 성장을 준비하였다.",NEUTRAL
이에 반해 IT부문은 높은 시장 장벽으로 인해 매출이 39.6% 감소하며 고전을 면치 못했다.,NEGATIVE
에스텍의 상반기 영업이익률은 마진이 높은 가전 부문 매출 비중확대에 힘입어 1.7%를 기록하며 전년 동기대비 0.3%p 개선되었다.,POSITIVE
"그러나, 코위버는 올 2분기에는 과거 발주 흐름과 다른 모습을 보이며 전년동기대비 실적이 크게 악화되었다.",NEGATIVE
"당초 코위버는 40G MSPP에서 연간 약 80억원의 매출액을 기대했으나, 상반기까지 7억원에 불과하다.",NEGATIVE
다만 삼천리자전거는 외형성장 대비 영업이익은 전년동기 대비 감소세를 보였는데 이는 2007년 자전거 100만대 판매 기념으로 인한 각 대리점들의 간판교체 event로 인한 비용이 증가하여 전년동기 대비 감소세를 보인 것으로 판단된다.,NEGATIVE
올해 삼천리자전거는 대리점 간판교체 총 소요비용은 약 15억 정도 수준으로 예상되며 3Q 중 나머지 비용이 추가적으로 발생할 것으로 전망된다.,NEGATIVE
이는 대진공업의 성장동인으로 평가되고 있는 T/M Control 매출이 91억원으로 전년동기대비 62.5% 급증했기 때문이다.,POSITIVE
"08년에도 현대차그룹의 해외생산능력 확대 및 소형차 수출 증가, 신차 출시로 현대차그룹의 매출 성장세가 이어질 전망이다.",POSITIVE
"대진공업은 예상치를 상회한 2분기 실적을 반영하여 08년 연간 매출을 기존 715억에서 726억원으로, 영업이익을 59억원에서 76억원으로 각각 1.5%, 28.8% 상향한다.",POSITIVE
"최근 현대제철의 주가는 1) 철스크랩가격 하락에 따른 제품단가 인하 우려와 2) 국내 스테인레스제품단가 인하에 따른 수익성 하락 우려, 3) 원/달러 환율 상승에 따른 수익성 하락 우려(원재료 수입액과 제품 수출액과의 예상차액인 10억달러, 외화부채 9.3억달러 보유에 따른 손익)때문에 약세를 보이고 있다.",NEGATIVE
"또한, 남은 인수 희망자들의 인수 의지가 강한 상황이므로 두산그룹 M&A 불참선언과 정부의 M&A대출 규제에도 인수 가격은 높은 수준에서 결정된 것으로 추정된다.",NEUTRAL
멕시코 LNG 프로젝트는 계약공시기준으로는 4.17억달러이지만 삼성엔지니어링의 멕시코 현지법인 공사 계약분 2.13억달러까지 포함하면 총 6.3억달러 규모에 달한다.,NEUTRAL
"삼성엔지니어링의 올해 수주목표는 2007년대비 23.8% 증가한 6조원이며, 현재 수주목표대비 달성률은 63%를 달하고 있다.",POSITIVE
"우주일렉트로의 리스크 요인은 주가에 과도하게 반영된 것으로 보이며, 우주일렉트로가 장기간 구축해 온 견조한 펀더멘털을 고려할 때 현 주가는 저평가된 것으로 보인다.",POSITIVE
"부진한 2분기 실적에 이어 마케팅 비용 집행으로 3분기 실적 역시 둔화될 것으로 예상되지만, 엔씨소프트 주가는 지난 1개월 간 10.3%의 시장 대비 초과수익률을 기록하였다.",POSITIVE
"엔씨소프트에는 ① 첫번째는 ‘아이온’이 최초 계획보다 2년이나 상용화가 연기된 것과 같은 스케쥴 지연 리스크, ② 두번째는 투입된 자금이나 인력, 개발진의 명성 그리고 제한된 인원이 참여하는 클로즈베타에서 형성되어진 기대감 등에 미치지 못하는 흥행 부진 리스크가 존재한다.",NEGATIVE
"향후 2~3년간 LED 성장의 중심이 디스플레이 제품이라는 측면에서, 삼성전기는 경쟁사 보다 빠르게 시장을 선점하고 있다는 점은 긍정적이다.",POSITIVE
전방 산업 부진 및 BGA 수익성 회복 지연 1) 동사 매출액의 45% 정도를 차지하는 삼성전자의 실적 전망이 하향되고 있다.,NEGATIVE
코리안리가 분기말에는 월간 적자를 기록한 적이 있었으나 분기중에 월간 적자를 기록한 적이 드물었다는 점에서 이번 월간 실적은 2분기(7~9월) 실적악화를 예상케 하는 부정적인 실적이었다,NEGATIVE
"다만 내년 초 메모리, LCD 가격 하락세 둔화를 감안할 때, 분기 실적은 올 4분기를 저점으로 점차 개선될 것으로 전망한다.",POSITIVE
따라서 현대차의 중단기 펀더멘털 악화 우려에 따른 단기 주가 상승 제약 요인이 해소됐다고 판단된다.,POSITIVE
다만 TV용 샷시의 대형화 및 주요 원자재인 철강 가격의 인상분 반영으로 ASP가 대폭 상승하면서 인지디스플레이의 2분기 매출액은 전분기 수준 대비 소폭 증가하였다.,POSITIVE
"한편 인지디스플레이의 주가의 급락에는 파생상품관련 손실 58억원 발생이 영향을 미쳤으나, 1) KIKO와 같은 통화옵션상품 운용에 따른 것이 아니고, 2) 파생상품손실에 상대되는 외화관련 이익으로 40억원을 기록해 순손실액은 18억원에 그쳤다는 점을 감안할 때, 최근 환율 상승에 따른 파생상품 관련 순손실은 2분기에 비해 줄어들 것으로 전망된다.",NEGATIVE
삼천당제약은 상위 제약사의 안과용제 부문 강화로 동사의 안과용제 매출이 예상보다 저조해 매출 성장이 한 자리 수로 둔화된 것으로 판단된다.,NEGATIVE
HD PVR 공급은 부진의 원인 중 하나가 해결되었다는 점에서 휴맥스 주가에 긍정적으로 작용할 전망이다.,POSITIVE
"제품별 수익성 개선을 바탕으로 분기별 이익이 증가하며, 2009년 영업이익(연결)이 37%(yoy) 증가할 것으로 추정되는 점을 반영하면, 현재 시점에서 삼성전기 주가의 상승여력은 충분하다고 판단된다.",POSITIVE
수율이 안정화되면서 인텔향 FC-BGA 출하량 증가로 가동률이 상승하여 삼성전기의 수익성이 7분기만에 손익분기점을 상회할 것으로 추정된다.,POSITIVE
"삼성전기의 매출은 각각 전년 대비 2008년 37.5%, 2009년 17.1%씩 증가할 것으로 예상된다.",POSITIVE
KT&G는 값 싼 외산 담배잎 사용 비중이 64%까지 확대 되어 매출총이익률이 전년 동기 대비 2.8%p 개선되어 수익성 개선을 가속화 시킬 것으로 전망된다.,POSITIVE
"휴켐스에 대한 외국인 투자가들의 주요 관심사: 1) 진입 장벽, 2) 리스크, 3) 성장 전략, 4) 배당정책 휴켐스에 대한 외국인 투자가들의 질문은 아래와 같은 네 가지에 집중되었다.",NEUTRAL
"휴켐스는 질산, DNT 등 주요 제품들이 고객사들과의 장기 공급 계약을 통해 납품되고, 납품 가격이 원료 가격, 환율 등에 연동되도록 되어 있어 사업 관련 리스크는 낮다.",POSITIVE
이큐스팜은 L/O 지연으로 불확실성 리스크 증대 반면 신약개발부에서의 매출 발생 지연으로 전체 영업이익은 여전히 적자에 서 벗어나지 못하고 있다.,NEGATIVE
2008년 4분기 이후 태양전지 생산이 본격화되며 신성홀딩스의 기업가치가 빠르게 증가할 것으로 예상된다.,POSITIVE
신성홀딩스의 태양전지 사업은 벌크형 실리콘 태양전지를 생산하는 것으로 2008년 4분기 이후 본격적인 양산 체제로 돌입할 것으로 예상된다.,NEUTRAL
태양전지 생산을 위한 신성홀딩스의 전략적 선택은 최상의 원재료를 확보하여 가장 안정적인 생산설비를 통해 고효율의 제품을 생산하는 것이다.,NEUTRAL
이는 단가 인하에도 불구하고 LG디스플레이 내BLU 점유율 상승에 따른 출하량 증가와 제품 믹스 개선에 기인하였다.,POSITIVE
"3분기 매출액은 성수기 진입에도 불구하고 LG디스플레이의 감산에 따른 영향으로 BLU 출하량은 전분기 수준에 그칠 전망이나, 노트북용 LED 도광판(LGP) 생산 증가로 인해 전분기 대비 4.9% 증가한 267억원에 이를 것으로 전망된다.",POSITIVE
다만 LCD 경기 하강에 따른 BLU 단가 인하 영향으로 인해 LG디스플레이는 3분기 영업이익은 전분기 수준인 6억원을 기록할 것으로 예상된다.,NEUTRAL
■ 환율 상승에 따른 수혜 전망 최근 환율 급등과 통화옵션 상품인 KIKO의 추가 손실부각에 따라 일부 중소기업은 어려움을 겪고 있다.,NEGATIVE
"그 이유는 1)한국가스공사는 05년 이후 E&P사업을 신성장동력으로 삼은 이후 배당주에서 성장주로 탈 바꿈하였으며, 2)한국가스공사의 수익구조상 배당을 하지 못할 이유나 회사측에서도 무배당을 검토한 적은 없는 것으로 판단되며, 3)한국가스공사의 영업구조상 판매량의 감소가 동사의 영업가치를 훼손시키지는 않기 때문이다.",POSITIVE
"이처럼 외형확대에도 불구하고, 수성의 수익성이 크게 떨어진 요인은 철판, 밧데리 등 주요 원재료 가격의 높은 상승과 영업 및 연구 인력 충원에 따른 인건비 상승 때문으로 파악된다.",NEGATIVE
"이처럼 수성의 경우 중대형 지게차의 판매증가에 따른 외형 확대에도 불구하고, 소형대비 상대적으로 마진이 낮아 수익성회복은 쉽지 않을 것으로 보인다.",NEGATIVE
"뿐만 아니라, 높은 원재료 가격, 인건비, 감가상각비 등에 따른 비용 증가가 수성에게 지속적인 부담으로 작용할 전망이다.",NEGATIVE
"수성은 소형 전동 지게차부문 국내 시장점유율 1위에 걸맞게 제품의 품질면에서 매우 안정화되어 있어 잔고장이 없을 뿐만 아니라, 타사대비 가격경쟁력에서도 우수하여 이들 시장에서의 꾸준한 수출 확대가 기대된다.",POSITIVE
"환율과 유가 상승, 소비경기의 둔화로 인해 여행경기가 하락하는 모습을 보이고 있지만 레드캡투어는 B2B 서비스사업이 주요 사업이기 때문에 안정적인 실적을 기록하고 있다.",POSITIVE
레드캡투어 역시 산업의 어려움을 피할 수 없지만 안정적인 B2B 서비스로 인해 여타 여행 업체에 비해 실적감소는 덜 할 것으로 예상한다.,NEUTRAL
대주주 및 특수관계인은 경영참여를 하지 않기 때문에 레드캡투어의 펀드멘탈 상 문제는 없지만 이미지에 악영향을 미치고 있다.,NEGATIVE
한가지 특이할 점은 양방향미디어(MO) 부문이 07년 하반기에서 08년 상반기로 접어들면서 월 사용건수가 약 350% 가량 증가하였다는 것이다.,POSITIVE
기존 예상대로 8월말 주가 저점 통과에 대한 의견 유지당사에서는 여전히 8월말 주가 저점 통과에 대한 의견과 신세계에 대한 목표주가 67만원을 유지한다.,NEUTRAL
"대림산업의 3가지 리스크 요인은 ① 차입금 증가 ② 미분양 문제 ③ 뚝섬, 광교 등 자체개발사업 확대이다.",NEGATIVE
"국내 주택시장 침체에 따른 동사의 자체적인 리스크 요인 외에 최근에는 뚝섬사업 협상 결렬과 환율, 금리 등 외부변수까지 극단적인 상황으로 돌변하면서 투자자들의 우려가 증폭되었다.",NEGATIVE
"신세계는 하반기에도 유통업종 대표주로서 경기 영향에서 상대적으로 자유로운 모습이 기대되며, 영업이익의 안정적인 증가가 예상된다.",POSITIVE
"신세계의 8월 실적은 총매출액 9,157억원(전년동기비 +9.7%), 영업이익 684억원(전년동기비 +17.0%)을 기록했다.",POSITIVE
"소비경기 둔화 진행중이지만, 주가는 반등 관점으로 하반기는 경기 둔화에 대해 걱정하기보다 경기 부양책의 내수 진작 효과와 신세계의 안정적인 이익 증가에 주목할 시기로 보인다.",POSITIVE
따라서 하이닉스에 대한 투자 의사 결정에 있어서 ‘나무가 아닌 숲을 어떻게 보느냐’가 더욱 중요한 시점이다.,NEUTRAL
하반기에는 세계 반도체 불경기 영향을 받아 예년보다 반도체 사업부 매출은 감소할 것으로 보인다.,NEGATIVE
그러나 젯텍의 신제품인 Laser RF ID bonding 장비가 12억원에 납품 예정으로 있어 전체 매출에서는 예년과 비교하여 비슷한 수준이 될 것으로 보인다.,NEUTRAL
코메론의 순이익이 줄어든 것은 작년 2분기 매도가능증권 처분 이익이 대규모 발생한 데 따른 역기저효과가 컸다.,NEGATIVE
롯데삼강은 3분기 실적만으로도 어닝 서프라이즈 수준이지만 4분기 이후에는 실적 개선폭이 더욱 확대될 것으로 예상된다.,POSITIVE
음식료 업종 평균 PER는 12.5배로 업종 대비 약 80% 상승 여력이 있다고 판단된다.,POSITIVE
"감시형 카메라, 파워 시스템 및 특수사업부의 안정적인 사업 환경과 마진율을 반영하면, 최근 삼성테크원의 주가하락은 과도한 것으로 판단된다.",NEUTRAL
전력기기부문은 다소 지연되었던 전자식 전력량계의 신규 매출이 3분기 부터 본격적으로 발생하고 있다.,POSITIVE
2분기에 이어 3분기도 영업실적은 양호 도드람 B&F 의 1 분기 실적은 저조했다.,NEGATIVE
"도드람 B&F는 2분기에 외형과 영업이익이 전년동기대비 각각 24.8%, 95.3% 늘어나는 등 예상치를 초과했다.",POSITIVE
삼성전자 LCD 8-1라인 Phase 2로 공급하는 Wet Developer의 매출 증가가 주 요인이었음.,POSITIVE
"동국제약은 중위권 제약사 그룹(24개 회사, 2007년 매출 평균 1,033억원)과 달리 2005년 이후 높은 매출 성장률을 이어오고 있다.",POSITIVE
2007년을 살펴보면 동국제약은 18%의 매출 성장을 보이며 비교그룹의 9%를 크게 상회하고 있다.,POSITIVE
"주요 매출처인 LG디스플레이의 설비 투자 축소로 주력 제품인 aging system의 매출이 부진하였고, 매출 감소로 인한 비용 증가 효과로 영업이익도 큰 폭으로 감소하였기 때문이다.",NEGATIVE
동아엘텍의 영업 외적인 부분에서 특이한 점은 단기매매증권관련 손실이 14.1억원 발생하여 세전이익이 -5.4억원으로 적자전환했다는 점이다.,NEGATIVE
의료기기 산업은 다품종 소량생산의 고부가가치산업으로 고령화 추세와 생활수준 향상으로 안정 적인 성장을 이어가고 있다.,POSITIVE
"액토즈소프트의 2분기 매출액은 197억원으로 전분기대비 28%, 전년동기대비 81% 증가했고, 영업이익은 28억원으로 전분기대비 31%, 전년동기대비 126% 늘어났다.",POSITIVE
3분기 실적 중간 점검: 에버다임의 3분기 매출은 600억원 수준으로 예상된다.,NEUTRAL
"에버다임은 7월과 8월 매출액이 각각 177억원, 180억원으로 예상치를 하회한 것으로 나타났다.",NEGATIVE
"에버다임의 2008년 매출액은 전년 대비 16.4% 증가한 3,342억원, 영업이익은 85.6% 증가한 1,007억원, 순이익은 93.5% 증가한 869억원으로 전망된다.",POSITIVE
자회사의 꾸준한 영업 성장100% 자회사인 반도체 장비용 피팅 사업 역시 꾸준한 영업 성장을 하고 있어 에버다임의 기업가치를 높여줄 것으로 판단된다.,POSITIVE
"또한, 3) 반지의 제왕과 몬스터헌터 온라인 등 기대했던 퍼블리싱 게임의 성과가 당초 예상보다 부진한 것으로 파악된다.",NEGATIVE
NHN의 주가는 연초 대비 40% 하락하였고 KOSDAQ 시장대비 6% Underperform하였다.,NEGATIVE
"그러나, 국내 온라인광고 시장이 ‘성장성 둔화’라는 큰 산에 봉착한 1위 사업자인 NHN의 주가가 단기간에반등할만한 모멘텀의 창출은 부족하다고 판단된다.",NEGATIVE
호남석유는 그동안 MEG 등 범용 석유화학제품 비중이 높아 경영전략 측면에서 비범용 석유화학제품으로의 제품포트폴리오 재편 필요성이 제기되어 왔다.,NEUTRAL
"양사 합병 이후 연결기준 차입금은 롯데대산유화 차입금 약 4,400억원이나 양사의 영업활동을 통해 창출할 수 있는 현금(EBITDA)이 연간 약 5,600억원을 상회하는 점을 감안하면 이번 회사채 발행이 유동성 확보를 위한 재원가능성은 크지 않은 것으로 판단된다.",NEUTRAL
"또한 동사는 KT의 ‘W-내비게이션’ 사업자로 선정되어, 와이브로 망을 통해 양방향 통신이 가능한 내비게이션 플랫폼 및 서비스 개발에 참여할 예정임.",POSITIVE
이는 포인트아이가 보유한 LBS 관련 기술력과 경쟁력을 입증한 것으로 LBS 시장의 선두주자임을 확인하였음.,POSITIVE
우선 중앙백신의 외형성장이 낮았던 것은 전년도 상반기 매출증가폭이 높았던 부분도 있지만 AI확산으로 조류백신 수요가 크게 감소 하며 매출이 8.3% 감소한 영향이 크다.,NEGATIVE
양돈부문은 돼지 소모성질병에 대한 백신(돼지써코바이러스 백신)을 개발하여 금년 5월부터 출시했는데 매출성장에 크게 기여했다.,POSITIVE
"네오티스의 08년 연간은 매출액 242억(YoY -12%), 영업이익 51억(YoY -31%), 영업이익률은 21.2%(YoY –5.7%p)로 예상된다.",NEGATIVE
"아울러 에듀박스 영업이익의 85%를 차지하는 학원프랜차이즈 부문 역시 성장 속도가 더딘 모습이고, 온라인부문도 성장성이 빠르지는 않아 보인다.",NEGATIVE
다만 방과후학교 부문의 비중감소와 토킹클럽의 이익 규모 확대로 수익성이 개선되고 있다는 점은 긍정적인 부분이다.,POSITIVE
에듀박스는 방과후학교부문이 전년대비 25% 감소한 매출액과 3억원의 영업손실을 시현하였고 학원프랜차이즈부문 역시 전분기대비 5% 성장에 그쳤기 때문이다.,NEGATIVE
엘오티베큠의 매출이 전분기 보다 적었음에도 불구하고 이익률이 개선된 원인은 크게 3 가지 요인으로 분석된다.,POSITIVE
거시변수의 악재에도 불구하고 B2B사업을 영위하고 있는 세중나모여행이 안정적인 실적을 영위할 수 있다는 점은 긍정적이라는 판단이다.,NEUTRAL
상반기에 이미 지난해 매출액을 초월한 소주법인은 월 150만개 처리 능력에 이어 하반기 이후에는 250만개까지 Capa가 증설됨에 따라 지분법이익에 미치는 영향이 더욱 확대될 전망이다.,POSITIVE
"국영지엔엠은 수주감소에 따라 반기 유리생산실적도 복층, 강화, 접합유리등 전반적으로 생산이 감소하여 전년동기대비 40% 감소한 31 만 평방미터를 기록하였다.",NEGATIVE
"국영지엔엠은 매출액이 감소한데다 판유리 원가상승에 따라 상반기 매출원가율은 전년동기 98%대비 2.6%pt 상승한 100.6%를 기록하여 상반기 영업손실은 10억원을 기록, 적자기조가 확대되었다.",NEGATIVE
반면 한일단조의 영업이익은 원자재 가격 상승 영향과 물류비 지출 부담 증가가 작용할 것으로 보여 전년대비 감소할 가능성이 있다.,NEGATIVE
한일단조가 수출하고 있는 단조 부품은 대형 트럭에 주로 쓰이기 때문에 경기에 민감한 것이 사실이다.,NEUTRAL
"포스코의 3분기 영업이익은 전분기대비 감소가 아닌, 증가세를 보일 전망이다.",POSITIVE
"즉 포스코의 3분기 매출액은 전년동기대비 61% 증가한 8조 4,619억원, 영업이익은 84.1%증가한 1조 9,754억원을 시현할 전망이다.",POSITIVE
2009년 실적 전망에는 한국 영화 시장과 CJ CGV의 시장 점유율이 2008년 수준으로 정체된다는 보수적인 가정을 대입하고 있다.,NEUTRAL
"나이스는 꾸준히 현금영수증 시장에서 점유율을 늘려왔으며, 성장하는 현금영수증 시장에서 동사의 견조한 실적은 장기적으로 성장의 원동력이 될 것으로 판단됨. 적정주가 5,700원, 투자의견 BUY 유지 불안정한 각종 거시변수에도 불구하고, 동사는 상반기에 견조한 실적을 보였으며, 또한 7월 이후 현금 영수증 시장에서 빠른 성장세를 보이고 있음.",POSITIVE
"한글과컴퓨터의 2분기 호실적의 원인은 SW부문 및 해외부문 매출이 전년동기대비 각각 27.5%, 27.7% 증가하였고, 오피스 시장으로의 매출이 전년동기대비 15% 성장하였기 때문이다.",POSITIVE
소프트웨어 특성상 4분기에 수주액이 집중되어있다는 점을 감안하면 올해 한글과컴퓨터가 제시한 가이던스 이상의 실적을 거둘 것으로 전망된다.,POSITIVE
"또한, 사이버대학, 학원, 게임 등 시즌 대표 업체들의 실적이 증가하였고, 신규 가맹점 증가와 기존 가맹점의 실적 개선이 이니시스의 호 실적의 원인으로 판단된다.",POSITIVE
"서비스별로 자세히 살펴보면, 신용카드 부문은 신용카드사들의 카드 이용 혜택과 공격적인 마케팅으로 신용카드 이용률이 꾸준히 높아지고 있어 이니시스의 3분기 신용카드 매출액은 8.5% 증가한 215억원을 기록할 것으로 전망된다.",POSITIVE
"이니시스의 2008년 매출액과 영업이익은 전년동기대비 각각 36.5%, 163.1% 증가한 1,067억원과 50억원을 기록할 것으로 전망된다.",POSITIVE
"또한 씨앤애스는 멀티의 영상처리칩셋으로 사업영역을 점차 확대시키고 있는데, 즉 핸드폰용, 카네비게이션, PDA 등 모바일용 칩셋과 차량용 멀티칩 등 신규 아이템이 본격적인 시장진입을 준비하고 있다.",NEUTRAL
또한 2005년 진출한 플랜트설비 사업부문의 인원확충에 따른 비용 증가도 세보엠이씨의 수익성을 악화시키는 요인으로 작용하였다.,NEGATIVE
"세보엠이씨는 2009년 매출액과 영업이익은 전년 대비 각각 4.8%, 35.9% 증가한 1,592억원, 120억원을 기록할 것으로 예상된다.",POSITIVE
내년 원재료 상승은 제한적일 것으로 전망되고 플랜트 사업 부문에서 수익성이 개선될 것으로 기대되어 세보엠이씨의 2009년 영업이익률은 전년 대비 1.7%p 상승한 7.5%를 기록할 것으로 판단된다.,POSITIVE
세보엠이씨의 주식이 과거 PER 2.8배에서 5.3배 수준에서 거래됐다는 점을 고려해보면현 주가는 적정한 수준이라고 판단된다.,NEUTRAL
현재 NCA 양산 설비에서 생산한 제품은 삼성SDI로 부터 최종 승인으로 받은 이후 5월부터 초도 납품한 이후 수량이 점차 확대되고 있는 상황이다.,NEUTRAL
에버테크노는 LCD장비부문의 매출 호전으로 인해 상반기 매출은 전년 온기 수준 매출액을 기록하면서 매출 성장이 두드러졌다.,POSITIVE
그리고 에버테크노는 수익측면에서도 LCD장비를 중심으로 매출이 급증하면서 1분기 흑자 전환하였고 이익개선 추세가 이어지면서 상반기 영업이익률은 7.6% 수준까지 회복하였다.,POSITIVE
로만손은 매출성장과 함께 평균 마진율을 상회하는 주얼리 매출 확대 효과와 환율 효과로 인해 영업이익률이 7.6% 수준까지 호전되었다는 점이 긍정적이다.,POSITIVE
특히 로만손은 수익측면에서 평균 마진보다 높은 주얼리 매출 확대 효과와 원/달러 환율 상승에 따른 시계부문의 영업이익률 개선이 하반기에 더욱 확대될 것으로 예상된다.,POSITIVE
"2009년에 로만손은 주얼리 매출 성장과 함께 시계 수출확대, 원/달러 환율 상승 등을 감안하면 매출 성장과 함께 이익률개선 추세를 이어갈 것으로 예상된다.",POSITIVE
지난 9/1에는 작년 매출액의 85.9%에 해당하는 564억원 규모의 HRSG를 포스코건설로부터 수주하였다.,NEUTRAL
이번 수주건은 포스코와의 긴밀한 관계로 인해 단독 입찰하여 OP 마진 기준으로 15%의 수익성이 기대된다.,NEUTRAL
코오롱아이넷의 매출액 증가율 대비 영업이익 증가율이 큰 이유는 매출액 증대에 따른 영업 레버리지 효과로 인해 작년 동기 대비 매출액 대 고정비 비율이 10.6%에서 7.5%로 감소하였기 때문이다.,POSITIVE
"3분기 실적 전망 루멘스의 3분기 매출액과 영업이익, 당기순이익은 각각 195억, 8억, 1억원을 기록할 전망임.",NEUTRAL
티씨케이는 2008년 상반기부터 주력매출 부문인 CZ 부문의 매출을 CZ 태양광 부문과 CZ 반도체 부문으로 구분하여 공시하였다.,NEUTRAL
상반기 티씨케이의 CZ 태양광 부문 매출은 매출 전체의 17.2%에 해당하는 25.9억원을 기록하였다.,NEUTRAL
홈네트워크부문은 시장성장과 더불어 다른 건설사로의 매출처 확대로 상반기 매출이 대폭적으로 증가하여 54억을 기록하였다.,POSITIVE
그러나 텔레매틱스부문은 과열경쟁 여파로 ITS부문은 수주의 감소로 상반기 매출이 각각 10억을 달성하는데 그쳤다.,NEGATIVE
